ID,NOM,COUNT_PESO,POR_PESO
1,"Menos de 1,000 kg",2726,"0,420990207267409%"
2,"1,000 – 1,499 kg",4965,"0,766770498562981%"
3,"1,500 – 1,999 kg",10809,"1,66928949022503%"
4,"2,000 – 2,499 kg",40260,"6,21755896719952%"
5,"2,500 – 2,999 kg",177369,"27,3920073634677%"
6,"3,000 – 3,499 kg",276201,"42,6551416865245%"
7,"3,500 – 3,999 kg",115427,"17,8259855664913%"
8,"4,000 kg y más",17887,"2,76238145172126%"
9,Sin información,1877,"0,289874768540325%"
