ID,Tiempo,Cantidad
1,Ene-2019,54823
2,Feb-2019,49448
3,Mar-2019,52786
4,Abr-2019,50037
5,May-2019,52149
6,Jun-2019,49607
7,Jul-2019,51319
8,Ago-2019,54532
9,Sep-2019,57865
10,Oct-2019,57495
11,Nov-2019,56533
12,Dic-2019,56948
