ID,MES,Tasa1,Tasa2
1,Ene,-4.45629543047083,3.12726994685935
2,Feb,-5.64239870850888,-0.85127691537306
3,Mar,0.384776701861882,-2.78665891585525
4,Abr,0.455941368200916,-2.93891483336147
5,May,1.86658280301909,-2.56061018795968
6,Jun,1.65174053352174,-3.3230642070857
7,Jul,3.59178806960021,-3.16332769844981
8,Ago,0.731135815084301,-1.64754442423394
9,Sep,1.44601100412655,-0.410162539617973
10,Oct,6.97222689154106,-0.043649823654713
11,Nov,6.75136396059455,0.251024867715312
12,Dic,3.25047088003282,0.527399487049814
