COD_DPTO,NOMBRE_DPT,Conteo_Nacimientos
5,ANTIOQUIA,76684
8,ATLANTICO,43453
11,SANTAFE DE BOGOTA D.C,108969
13,BOLIVAR,34906
15,BOYACA,14921
17,CALDAS,9298
18,CAQUETA,7223
19,CAUCA,15991
20,CESAR,20118
23,CORDOBA,27000
25,CUNDINAMARCA,20462
27,CHOCO,5304
41,HUILA,20355
44,LA GUAJIRA,17583
47,MAGDALENA,24162
50,META,15860
52,NARIÑO,18528
54,NORTE DE SANTANDER,21114
63,QUINDIO,6163
66,RISARALDA,11037
68,SANTANDER,30776
70,SUCRE,16542
73,TOLIMA,16391
76,VALLE DEL CAUCA,53322
81,ARAUCA,4647
85,CASANARE,6042
86,PUTUMAYO,4195
88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,804
91,AMAZONAS,1433
94,GUAINIA,834
95,GUAVIARE,1279
97,VAUPES,576
99,VICHADA,732
