ID,NOM,COUNT_PESO,POR_PESO
1,"Menos de 1,000 kg",2739,"0,421959128967902%"
2,"1,000 – 1,499 kg",4860,"0,748711707478644%"
3,"1,500 – 1,999 kg",10957,"1,6879905717785%"
4,"2,000 – 2,499 kg",40756,"6,27870254115218%"
5,"2,500 – 2,999 kg",177223,"27,3022499865201%"
6,"3,000 – 3,499 kg",275732,"42,4781433182102%"
7,"3,500 – 3,999 kg",114000,"17,5623733853015%"
8,"4,000 kg y más",17803,"2,74265731033792%"
9,Sin información,5045,"0,777212050253037%"
